P7,O1,O2,P8,Label
4585.641,3954.359,3873.333,4295.897,0
4576.923,3946.154,3886.154,4305.641,0
4586.667,3959.487,3887.179,4310.769,0
4594.872,3962.051,3872.308,4302.564,0
4581.538,3937.436,3856.923,4286.667,0
4572.308,3928.205,3853.846,4275.385,0
4577.949,3944.615,3861.538,4271.282,0
4590.769,3957.949,3868.205,4274.872,0
4593.846,3951.795,3856.923,4277.436,0
4588.718,3947.692,3849.231,4275.385,0
4591.282,3957.949,3869.231,4283.59,0
4591.282,3961.026,3875.385,4287.692,0
4576.923,3950.256,3854.359,4276.41,0
4572.308,3949.744,3858.462,4276.923,0
4582.564,3957.436,3879.487,4293.333,0
4584.103,3952.821,3866.154,4287.179,0
4581.538,3954.359,3853.846,4271.282,0
4582.051,3957.949,3866.154,4281.026,0
4577.436,3937.949,3867.179,4294.872,0
4576.41,3928.205,3858.974,4292.821,0
4593.333,3961.026,3869.744,4293.333,0
4607.179,3975.897,3879.487,4296.41,0
4600.513,3952.308,3871.795,4294.872,0
4588.718,3953.846,3871.282,4292.821,0
4584.103,3967.692,3885.128,4293.846,0
4572.308,3953.333,3884.615,4286.154,0
4563.077,3944.103,3858.462,4271.795,0
4572.821,3948.718,3845.128,4270.769,0
4591.282,3953.333,3864.103,4287.692,0
4603.077,3965.128,3876.41,4298.462,0
4598.462,3965.128,3870.769,4296.923,0
4590.256,3956.41,3871.795,4295.897,0
4582.564,3958.974,3873.846,4286.667,0
4581.026,3959.487,3873.846,4289.744,0
4591.795,3959.487,3883.59,4311.795,0
4586.667,3965.128,3883.59,4306.667,0
4566.667,3957.436,3866.154,4282.051,0
4587.179,3956.923,3864.103,4287.692,0
4612.308,3977.436,3878.462,4298.462,0
4581.026,3965.641,3880,4280,0
4558.462,3926.154,3853.333,4265.641,0
4589.744,3937.436,3842.051,4273.846,0
4602.564,3969.231,3870.256,4288.718,0
4580,3951.795,3882.564,4293.846,0
4572.821,3934.359,3864.615,4292.308,0
4590.256,3957.949,3870.256,4300,0
4590.769,3963.59,3883.077,4301.026,0
4563.077,3937.949,3860,4276.41,0
4561.538,3943.077,3859.487,4269.231,0
4590.769,3964.615,3885.128,4282.564,0
4598.974,3961.026,3872.821,4275.897,0
4586.667,3951.795,3850.769,4263.077,0
4583.59,3957.436,3864.615,4273.846,0
4574.359,3954.359,3870.256,4277.949,0
4567.692,3938.974,3848.205,4269.231,0
4579.487,3939.487,3842.564,4273.846,0
4579.487,3949.231,3855.385,4282.051,0
4570.256,3948.718,3859.487,4279.487,0
4583.59,3954.872,3866.667,4278.974,0
4606.154,3970.769,3886.667,4291.795,0
4602.564,3973.846,3889.744,4298.462,0
4586.667,3963.59,3869.231,4285.641,0
4588.718,3956.923,3869.744,4277.949,0
4597.949,3961.538,3887.179,4283.59,0
4583.077,3952.308,3866.667,4273.846,0
4558.462,3930.256,3833.846,4255.385,0
4560,3927.179,3840,4263.59,0
4590.769,3948.718,3863.59,4291.795,0
4610.256,3961.026,3867.692,4294.872,0
4602.564,3957.436,3867.692,4287.179,0
4587.179,3953.333,3878.462,4295.385,0
4579.487,3951.795,3882.051,4296.41,0
4588.718,3957.949,3873.846,4286.667,0
4603.077,3967.179,3874.872,4288.205,0
4587.179,3957.949,3877.949,4290.256,0
4568.205,3950.256,3865.128,4279.487,0
4585.641,3953.333,3862.564,4273.333,0
4607.692,3959.487,3873.333,4278.974,0
4601.026,3962.051,3863.077,4277.949,0
4593.846,3956.41,3853.333,4266.154,0
4597.949,3951.795,3863.59,4264.103,0
4587.179,3949.231,3861.026,4271.282,0
4587.692,3952.821,3856.923,4281.538,0
4597.949,3957.949,3874.359,4290.256,0
4581.538,3957.436,3883.59,4291.795,0
4572.821,3958.974,3875.897,4291.282,0
4607.692,3976.923,3885.128,4304.615,0
4625.128,3986.154,3895.897,4310.256,0
4594.872,3971.795,3886.667,4293.333,0
4579.487,3958.974,3871.795,4275.385,0
4589.231,3946.667,3861.026,4271.795,0
4585.128,3934.359,3857.949,4270.256,0
4573.333,3933.333,3854.359,4262.051,0
4567.692,3928.718,3843.59,4254.872,0
4570.769,3924.103,3843.59,4255.385,0
4582.051,3932.821,3856.41,4257.436,0
4580.513,3929.744,3855.385,4253.333,0
4566.154,3923.59,3850.769,4255.385,0
4573.333,3948.205,3861.538,4270.256,0
4603.077,3974.359,3889.231,4297.436,0
4612.308,3968.205,3908.205,4311.795,0
4597.436,3954.359,3894.359,4302.051,0
4583.59,3945.128,3869.744,4294.359,0
4586.154,3941.026,3869.744,4302.051,0
4598.462,3948.718,3874.872,4303.077,0
4595.897,3949.231,3863.59,4288.718,0
4577.436,3930.769,3856.41,4275.897,0
4571.282,3929.744,3865.128,4274.872,0
4586.154,3949.744,3870.769,4278.462,0
4599.487,3957.436,3867.692,4281.538,0
4598.462,3953.333,3863.077,4281.026,0
4595.897,3954.359,3868.718,4280,0
4603.59,3959.487,3875.385,4281.538,0
4603.077,3955.385,3866.154,4280,0
4593.333,3952.308,3864.615,4284.103,0
4600.513,3962.564,3881.026,4298.462,0
4616.923,3972.308,3890.769,4310.256,0
4623.59,3973.846,3889.231,4309.744,0
4622.051,3974.872,3896.41,4310.256,0
4606.667,3964.103,3891.795,4302.564,0
4590.256,3948.205,3861.538,4283.59,0
4586.667,3944.103,3840.513,4271.795,0
4587.179,3948.718,3846.154,4273.333,0
4596.41,3956.923,3867.179,4286.154,0
4618.974,3967.179,3886.667,4304.615,0
4627.179,3972.308,3887.179,4309.231,0
4605.128,3964.615,3875.385,4297.949,0
4590.256,3960.513,3871.795,4294.872,0
4590.256,3960.513,3876.923,4293.846,0
4586.154,3950.256,3872.308,4283.59,0
4597.949,3945.641,3867.179,4282.051,0
4620,3962.051,3869.744,4290.256,0
4610.256,3974.359,3870.769,4288.718,0
4589.231,3962.564,3875.897,4288.205,0
4603.59,3957.436,3892.308,4301.026,0
4619.487,3968.718,3901.026,4309.744,0
4604.615,3969.231,3890.256,4305.641,0
4603.077,3965.128,3880,4302.564,0
4602.564,3966.667,3882.051,4295.897,0
4589.744,3965.128,3889.231,4286.667,0
4597.436,3961.026,3882.564,4294.872,0
4616.41,3960,3868.205,4307.179,0
4606.154,3947.692,3864.103,4296.41,0
4587.692,3940,3868.718,4283.077,0
4596.923,3950.769,3870.256,4285.641,0
4610.256,3954.872,3870.256,4286.667,0
4605.128,3950.256,3871.795,4288.205,0
4594.872,3952.308,3870.256,4291.795,0
4590.769,3952.308,3870.769,4292.308,0
4580,3944.103,3871.282,4289.744,0
4585.128,3950.769,3872.821,4289.231,0
4617.949,3965.641,3880,4294.359,0
4624.615,3969.231,3887.692,4300,0
4594.872,3960.513,3885.128,4289.744,0
4591.282,3958.462,3878.462,4281.538,0
4612.308,3961.538,3868.205,4292.821,0
4610.769,3956.41,3855.385,4298.462,0
4603.59,3954.872,3857.949,4294.359,0
4613.846,3965.128,3874.359,4299.487,0
4622.051,3974.872,3884.103,4305.641,0
4611.282,3973.846,3884.615,4304.103,0
4604.615,3972.821,3891.282,4309.231,0
4607.179,3970.769,3889.744,4310.769,0
4611.282,3971.795,3891.282,4310.769,0
4610.769,3975.897,3901.026,4310.769,0
4597.949,3968.718,3885.641,4294.872,0
4582.564,3956.41,3860,4274.359,0
4587.179,3947.179,3864.103,4274.359,0
4607.692,3942.564,3873.333,4292.308,0
4615.897,3955.385,3868.205,4303.077,0
4607.179,3970.256,3867.179,4295.897,0
4600.513,3962.051,3870.256,4285.641,0
4586.667,3943.077,3866.154,4285.641,0
4574.872,3948.205,3870.769,4292.308,0
4593.333,3969.744,3882.051,4301.538,0
4621.538,3980,3888.205,4311.795,0
4608.718,3969.744,3880,4304.103,0
4583.59,3957.949,3868.718,4286.667,0
4595.897,3965.128,3870.256,4290.769,0
4612.821,3968.718,3873.846,4298.462,0
4608.205,3962.051,3869.744,4289.231,0
4588.205,3955.897,3857.436,4273.333,0
4571.282,3948.205,3852.308,4268.718,0
4577.949,3943.077,3867.692,4280.513,0
4585.641,3947.179,3881.026,4288.718,0
4567.179,3949.231,3873.333,4277.949,0
4564.103,3947.179,3863.59,4269.744,0
4592.308,3949.231,3865.641,4280,0
4603.59,3951.282,3864.615,4286.154,0
4596.923,3951.795,3860,4276.41,0
4599.487,3958.974,3860.513,4272.821,0
4602.564,3968.205,3862.564,4277.436,0
4595.897,3966.154,3864.103,4282.051,0
4592.821,3962.051,3874.359,4291.795,0
4595.385,3967.179,3881.538,4300.513,0
4597.436,3967.179,3873.333,4299.487,0
4594.359,3957.436,3868.205,4292.308,0
4591.795,3953.846,3871.282,4286.154,0
4582.564,3948.205,3862.051,4273.846,0
4571.795,3936.923,3852.308,4270.256,0
4583.077,3946.667,3867.692,4287.692,0
4597.949,3964.615,3890.256,4303.59,0
4591.282,3957.436,3882.564,4300.513,0
4588.205,3946.154,3850.769,4292.308,0
4599.487,3949.231,3840,4289.231,0
4598.974,3953.846,3854.359,4281.538,0
4587.179,3950.769,3856.923,4275.385,0
4588.205,3947.692,3854.359,4282.564,0
4593.846,3950.256,3865.641,4289.744,0
4587.692,3952.821,3867.179,4281.026,0
