,P7,O1,O2,P8,TIME
2061,4604.615,3962.051,3870.256,4304.615,1606508953.68
2062,4612.308,3967.692,3873.846,4303.59,1606508953.6877
2063,4610.256,3971.282,3870.256,4302.051,1606508953.6955
2064,4602.051,3962.051,3860.513,4298.974,1606508953.7032
2065,4601.026,3953.333,3856.923,4291.795,1606508953.711
2066,4606.154,3956.923,3862.564,4292.308,1606508953.7188
2067,4611.282,3964.103,3871.282,4308.205,1606508953.7266
2068,4612.308,3969.231,3878.974,4318.974,1606508953.7343
2069,4610.769,3972.308,3880.0,4311.282,1606508953.7422
2070,4609.231,3967.692,3875.385,4302.564,1606508953.75
2071,4611.282,3962.051,3869.744,4301.538,1606508953.758
2072,4619.487,3967.179,3869.744,4308.718,1606508953.7658
2073,4622.564,3972.308,3873.846,4316.41,1606508953.7737
2074,4616.923,3969.231,3872.821,4311.795,1606508953.7815
2075,4616.41,3968.205,3866.667,4303.59,1606508953.7894
2076,4614.872,3964.615,3866.154,4304.103,1606508953.7973
2077,4614.359,3966.154,3881.538,4316.923,1606508953.8052
2078,4624.615,3983.59,3894.872,4332.821,1606508953.813
2079,4632.308,3991.795,3893.333,4335.897,1606508953.8209
2080,4626.667,3976.923,3888.205,4325.128,1606508953.8287
2081,4625.641,3970.256,3888.205,4325.128,1606508953.8365
2082,4622.051,3973.333,3886.667,4335.385,1606508953.8443
2083,4614.359,3972.821,3885.641,4334.359,1606508953.852
2084,4621.026,3974.872,3884.103,4324.103,1606508953.8598
2085,4631.282,3980.513,3882.051,4322.564,1606508953.8675
2086,4625.641,3977.436,3880.0,4321.026,1606508953.8754
2087,4614.872,3969.231,3878.462,4315.385,1606508953.8831
2088,4616.923,3971.282,3881.538,4315.385,1606508953.8909
2089,4627.179,3982.051,3889.744,4321.538,1606508953.8986
2090,4626.154,3979.487,3886.154,4322.051,1606508953.9064
2091,4616.41,3963.59,3875.385,4311.795,1606508953.9142
2092,4623.59,3971.795,3885.128,4314.872,1606508953.9221
