,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
138,0.402,1.012,0.205,0.564,0.367,0.299,0.866,0.256,0.354,0.161,1606228723.2247
139,0.426,1.001,0.178,0.58,0.373,0.294,0.869,0.232,0.372,0.187,1606228723.3497
140,0.425,0.987,0.162,0.585,0.365,0.273,0.836,0.22,0.363,0.206,1606228723.4749
141,0.386,0.964,0.158,0.579,0.349,0.239,0.765,0.211,0.332,0.213,1606228723.6003
142,0.329,0.931,0.172,0.561,0.33,0.204,0.671,0.2,0.285,0.208,1606228723.725
143,0.285,0.892,0.204,0.526,0.316,0.18,0.574,0.186,0.233,0.194,1606228723.8499
144,0.119,0.643,0.619,0.404,0.463,0.219,0.524,0.605,0.31,0.185,1606228730.3568
145,0.131,0.908,0.634,0.342,0.436,0.326,0.647,0.579,0.305,0.167,1606228730.4814
146,0.171,1.23,0.603,0.306,0.403,0.443,0.806,0.535,0.296,0.152,1606228730.6065
147,0.234,1.518,0.542,0.277,0.38,0.55,0.973,0.496,0.279,0.147,1606228730.7323
148,0.306,1.677,0.473,0.252,0.385,0.634,1.117,0.479,0.255,0.156,1606228730.8574
149,0.362,1.645,0.413,0.236,0.422,0.691,1.212,0.492,0.226,0.178,1606228730.9825
150,0.394,1.429,0.37,0.234,0.483,0.733,1.242,0.533,0.197,0.213,1606228731.1078
151,0.389,1.096,0.344,0.244,0.541,0.764,1.202,0.587,0.174,0.254,1606228731.2329
152,0.353,0.746,0.328,0.264,0.568,0.786,1.101,0.629,0.167,0.291,1606228731.3576
153,0.295,0.464,0.311,0.287,0.549,0.792,0.96,0.636,0.182,0.315,1606228731.4832
154,0.231,0.292,0.293,0.31,0.487,0.765,0.803,0.599,0.221,0.32,1606228731.608
155,0.172,0.223,0.278,0.328,0.402,0.693,0.651,0.527,0.275,0.305,1606228731.7331
156,0.126,0.223,0.264,0.339,0.319,0.58,0.529,0.438,0.33,0.274,1606228731.8585
157,0.093,0.257,0.249,0.344,0.256,0.451,0.453,0.353,0.372,0.236,1606228731.9837
158,0.084,0.309,0.233,0.351,0.222,0.347,0.42,0.286,0.388,0.197,1606228732.1088
159,0.101,0.363,0.225,0.372,0.215,0.297,0.407,0.247,0.381,0.166,1606228732.2343
160,0.149,0.407,0.236,0.415,0.23,0.305,0.392,0.234,0.36,0.148,1606228732.3596
161,0.228,0.435,0.269,0.476,0.256,0.358,0.364,0.233,0.336,0.143,1606228732.4842
162,0.327,0.449,0.32,0.546,0.284,0.42,0.325,0.237,0.32,0.147,1606228732.6093
163,0.428,0.46,0.384,0.607,0.304,0.461,0.293,0.243,0.314,0.156,1606228732.7345
164,0.506,0.488,0.458,0.646,0.316,0.461,0.297,0.249,0.32,0.166,1606228732.859
165,0.551,0.553,0.535,0.654,0.324,0.425,0.353,0.258,0.335,0.177,1606228732.9841
166,0.559,0.663,0.599,0.631,0.335,0.369,0.463,0.267,0.354,0.188,1606228733.1096
167,0.538,0.8,0.632,0.591,0.353,0.321,0.599,0.269,0.374,0.204,1606228733.2347
168,0.325,0.743,0.501,0.334,0.756,0.286,0.668,0.433,0.17,0.244,1606228742.8689
169,0.25,0.621,0.465,0.334,0.827,0.259,0.726,0.43,0.182,0.274,1606228742.9941
170,0.195,0.539,0.438,0.324,0.822,0.253,0.82,0.428,0.195,0.296,1606228743.1185
171,0.174,0.508,0.402,0.304,0.749,0.27,0.91,0.411,0.203,0.302,1606228743.2439
172,0.192,0.515,0.351,0.285,0.642,0.312,0.951,0.37,0.203,0.297,1606228743.3691
173,0.243,0.528,0.3,0.276,0.546,0.371,0.908,0.31,0.196,0.285,1606228743.4938
174,0.323,0.529,0.272,0.288,0.49,0.447,0.784,0.247,0.191,0.275,1606228743.6194
175,0.423,0.511,0.285,0.319,0.476,0.518,0.616,0.191,0.193,0.269,1606228743.7449
176,0.529,0.488,0.328,0.362,0.486,0.568,0.453,0.149,0.204,0.265,1606228743.8706
177,0.616,0.471,0.375,0.401,0.5,0.575,0.346,0.123,0.225,0.263,1606228743.9955
178,0.664,0.469,0.396,0.425,0.511,0.544,0.315,0.115,0.249,0.259,1606228744.1205
179,0.656,0.484,0.378,0.432,0.52,0.477,0.349,0.129,0.271,0.254,1606228744.2452
180,0.598,0.514,0.32,0.43,0.527,0.397,0.416,0.161,0.287,0.247,1606228744.3702
181,0.512,0.549,0.237,0.433,0.528,0.334,0.481,0.2,0.303,0.238,1606228744.4954
182,0.425,0.588,0.158,0.456,0.52,0.312,0.533,0.239,0.328,0.229,1606228744.6203
183,0.362,0.636,0.107,0.502,0.503,0.338,0.579,0.271,0.367,0.22,1606228744.7453
184,0.324,0.697,0.093,0.559,0.479,0.387,0.631,0.286,0.414,0.212,1606228744.8708
185,0.304,0.768,0.108,0.607,0.456,0.426,0.697,0.283,0.454,0.205,1606228744.996
186,0.281,0.835,0.138,0.629,0.441,0.423,0.773,0.263,0.47,0.201,1606228745.1209
187,0.251,0.884,0.17,0.619,0.436,0.374,0.844,0.234,0.458,0.198,1606228745.2461
188,0.22,0.913,0.2,0.585,0.44,0.298,0.896,0.208,0.424,0.198,1606228745.3712
189,0.198,0.932,0.227,0.543,0.448,0.225,0.915,0.189,0.38,0.197,1606228745.4958
190,0.194,0.955,0.253,0.512,0.462,0.185,0.898,0.179,0.339,0.197,1606228745.6211
191,0.211,0.991,0.282,0.503,0.493,0.192,0.852,0.181,0.308,0.203,1606228745.7462
192,0.201,0.129,0.506,0.379,0.338,0.215,0.178,0.403,0.169,0.215,1606228755.3799
193,0.216,0.137,0.494,0.375,0.362,0.249,0.184,0.455,0.18,0.231,1606228755.5053
194,0.223,0.168,0.51,0.371,0.405,0.273,0.194,0.504,0.199,0.254,1606228755.6304
195,0.222,0.218,0.56,0.372,0.455,0.278,0.205,0.545,0.223,0.278,1606228755.7552
196,0.212,0.295,0.634,0.38,0.494,0.265,0.224,0.573,0.247,0.297,1606228755.8807
197,0.196,0.397,0.712,0.393,0.511,0.234,0.256,0.58,0.27,0.303,1606228756.0056
198,0.182,0.513,0.771,0.417,0.501,0.197,0.296,0.559,0.286,0.294,1606228756.1304
199,0.175,0.613,0.795,0.459,0.465,0.166,0.333,0.511,0.293,0.273,1606228756.2558
200,0.184,0.668,0.779,0.527,0.413,0.152,0.358,0.448,0.291,0.243,1606228756.3809
201,0.21,0.657,0.726,0.615,0.354,0.158,0.368,0.385,0.282,0.213,1606228756.5058
