,P7,O1,O2,P8,TIME
5311,4666.154,3972.821,3881.538,4351.282,1606956716.4718
5312,4654.872,3973.333,3880.0,4347.179,1606956716.4796
5313,4649.231,3976.41,3884.615,4351.282,1606956716.4876
5314,4661.026,3975.385,3883.077,4354.359,1606956716.4954
5315,4662.051,3971.795,3873.333,4340.513,1606956716.5033
5316,4650.256,3968.718,3867.179,4327.179,1606956716.5111
5317,4648.718,3968.205,3871.795,4333.846,1606956716.519
5318,4657.949,3974.872,3880.0,4348.205,1606956716.5269
5319,4658.974,3976.923,3880.0,4348.718,1606956716.5348
5320,4653.333,3974.359,3880.0,4340.0,1606956716.5426
5321,4655.385,3979.487,3888.718,4342.564,1606956716.5503
5322,4657.949,3979.487,3890.256,4352.308,1606956716.5581
5323,4653.333,3967.692,3882.564,4352.821,1606956716.5661
5324,4649.231,3963.077,3880.513,4344.615,1606956716.5739
5325,4651.282,3968.718,3881.538,4338.462,1606956716.5816
5326,4653.846,3969.744,3875.897,4332.821,1606956716.5894
5327,4655.385,3968.205,3872.821,4332.308,1606956716.5971
5328,4650.769,3966.154,3869.744,4332.308,1606956716.605
5329,4642.564,3960.0,3863.59,4328.205,1606956716.6127
5330,4643.59,3956.923,3861.538,4323.59,1606956716.6205
5331,4649.231,3962.051,3867.692,4330.769,1606956716.6282
5332,4648.718,3966.154,3872.308,4339.487,1606956716.6361
5333,4649.744,3965.641,3873.333,4342.051,1606956716.644
5334,4649.744,3964.615,3874.872,4346.154,1606956716.6519
5335,4644.103,3960.513,3876.923,4345.128,1606956716.6597
5336,4646.667,3959.487,3875.897,4337.436,1606956716.6676
5337,4656.41,3965.641,3870.256,4336.41,1606956716.6754
5338,4662.564,3971.282,3865.128,4339.487,1606956716.6834
5339,4662.564,3967.692,3861.026,4331.795,1606956716.6912
5340,4657.436,3960.0,3857.436,4320.0,1606956716.6991
5341,4651.795,3961.026,3858.462,4321.538,1606956716.7069
5342,4654.872,3970.256,3868.718,4334.359,1606956716.7148
5343,4652.308,3967.692,3871.282,4336.923,1606956716.7227
5344,4641.026,3962.051,3866.667,4335.385,1606956716.7304
5345,4643.59,3970.769,3876.923,4345.128,1606956716.7382
5346,4658.462,3976.41,3887.179,4349.744,1606956716.7459
5347,4660.0,3963.077,3871.795,4333.846,1606956716.7537
5348,4653.846,3957.436,3855.897,4321.538,1606956716.7615
5349,4651.795,3967.179,3860.0,4322.564,1606956716.7693
5350,4649.231,3970.769,3863.59,4324.103,1606956716.777
5351,4648.718,3966.154,3866.154,4330.256,1606956716.7848
5352,4649.744,3963.59,3874.872,4341.026,1606956716.7925
5353,4647.179,3964.103,3881.538,4347.179,1606956716.8004
5354,4648.718,3966.667,3883.077,4352.821,1606956716.8081
5355,4652.308,3963.59,3878.462,4353.846,1606956716.8159
5356,4648.205,3962.051,3869.231,4344.103,1606956716.8236
5357,4650.769,3973.846,3875.385,4338.462,1606956716.8315
5358,4654.359,3976.923,3881.538,4340.513,1606956716.8394
5359,4645.128,3961.026,3871.795,4341.026,1606956716.8473
5360,4642.564,3955.897,3871.282,4347.179,1606956716.8551
5361,4650.769,3967.692,3886.154,4353.333,1606956716.863
5362,4651.795,3972.821,3887.179,4348.718,1606956716.8708
5363,4651.282,3971.282,3881.538,4345.641,1606956716.8788
5364,4650.256,3966.154,3878.462,4341.026,1606956716.8866
5365,4648.718,3962.564,3874.359,4332.821,1606956716.8945
