,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
277,0.431,0.485,0.461,0.419,0.51,0.36,0.396,0.316,0.215,0.239,1606228794.5428
278,0.44,0.493,0.503,0.492,0.654,0.354,0.395,0.337,0.265,0.281,1606228794.6676
279,0.445,0.497,0.522,0.562,0.781,0.359,0.409,0.366,0.317,0.325,1606228794.7927
280,0.456,0.516,0.533,0.63,0.865,0.376,0.451,0.415,0.366,0.361,1606228794.9182
281,0.471,0.566,0.557,0.699,0.888,0.394,0.524,0.486,0.408,0.381,1606228795.0436
282,0.474,0.648,0.604,0.767,0.853,0.397,0.613,0.575,0.441,0.38,1606228795.1681
283,0.453,0.751,0.669,0.829,0.776,0.376,0.696,0.664,0.468,0.365,1606228795.2936
284,0.399,0.853,0.732,0.874,0.684,0.331,0.751,0.732,0.488,0.344,1606228795.4188
285,0.321,0.93,0.769,0.889,0.596,0.273,0.763,0.758,0.5,0.327,1606228795.5436
286,0.243,0.967,0.77,0.864,0.529,0.224,0.736,0.738,0.496,0.32,1606228795.6689
287,0.194,0.956,0.746,0.8,0.491,0.203,0.683,0.689,0.471,0.324,1606228795.7943
288,0.207,0.42,0.056,0.398,0.253,0.146,0.145,0.114,0.144,0.062,1606228808.5564
289,0.212,0.38,0.075,0.396,0.296,0.153,0.104,0.108,0.151,0.069,1606228808.6815
290,0.197,0.328,0.111,0.374,0.339,0.176,0.083,0.121,0.168,0.079,1606228808.807
291,0.168,0.276,0.167,0.345,0.378,0.209,0.081,0.152,0.193,0.091,1606228808.9324
292,0.137,0.238,0.246,0.325,0.41,0.24,0.096,0.195,0.222,0.104,1606228809.0573
293,0.114,0.217,0.338,0.323,0.432,0.261,0.123,0.237,0.249,0.118,1606228809.1826
294,0.104,0.215,0.425,0.341,0.442,0.266,0.161,0.27,0.271,0.136,1606228809.3077
295,0.105,0.229,0.486,0.373,0.436,0.259,0.211,0.29,0.286,0.155,1606228809.4324
296,0.112,0.255,0.512,0.412,0.418,0.254,0.271,0.298,0.296,0.175,1606228809.5577
297,0.122,0.302,0.504,0.451,0.395,0.256,0.343,0.292,0.301,0.193,1606228809.6827
298,0.134,0.385,0.474,0.483,0.377,0.265,0.432,0.273,0.303,0.208,1606228809.8074
299,0.152,0.525,0.441,0.504,0.369,0.269,0.543,0.243,0.302,0.22,1606228809.933
300,0.179,0.724,0.415,0.512,0.373,0.262,0.678,0.21,0.295,0.227,1606228810.0584
301,0.216,0.963,0.399,0.506,0.386,0.247,0.833,0.179,0.28,0.231,1606228810.1829
302,0.264,1.192,0.389,0.485,0.402,0.239,0.998,0.157,0.255,0.234,1606228810.3082
303,0.317,1.353,0.368,0.452,0.423,0.25,1.146,0.149,0.228,0.236,1606228810.4334
304,0.363,1.393,0.329,0.413,0.449,0.282,1.238,0.153,0.209,0.243,1606228810.5582
305,0.388,1.299,0.278,0.373,0.487,0.322,1.241,0.163,0.203,0.258,1606228810.6835
306,0.389,1.099,0.229,0.337,0.537,0.351,1.142,0.174,0.211,0.284,1606228810.8089
307,0.371,0.854,0.199,0.315,0.59,0.353,0.958,0.176,0.226,0.314,1606228810.9336
308,0.345,0.628,0.193,0.313,0.63,0.326,0.732,0.168,0.237,0.338,1606228811.0588
309,0.321,0.467,0.204,0.331,0.642,0.289,0.518,0.155,0.232,0.343,1606228811.1842
310,0.306,0.384,0.22,0.362,0.619,0.256,0.368,0.148,0.211,0.322,1606228811.3089
311,0.302,0.362,0.231,0.396,0.567,0.243,0.307,0.161,0.179,0.279,1606228811.434
312,0.496,0.727,0.498,0.236,0.522,0.324,0.72,0.966,0.174,0.203,1606228821.0683
313,0.52,0.951,0.559,0.232,0.468,0.335,0.831,0.803,0.186,0.193,1606228821.193
314,0.562,1.145,0.616,0.234,0.413,0.367,0.908,0.633,0.2,0.186,1606228821.3184
315,0.63,1.273,0.652,0.242,0.366,0.415,0.933,0.498,0.213,0.181,1606228821.4434
316,0.721,1.315,0.657,0.25,0.332,0.465,0.906,0.42,0.222,0.18,1606228821.5681
317,0.819,1.271,0.634,0.256,0.308,0.503,0.845,0.396,0.227,0.182,1606228821.6936
318,0.888,1.161,0.6,0.26,0.293,0.516,0.775,0.41,0.231,0.183,1606228821.8188
319,0.893,1.003,0.561,0.264,0.28,0.498,0.708,0.439,0.232,0.181,1606228821.9436
320,0.821,0.811,0.514,0.267,0.263,0.455,0.637,0.45,0.231,0.174,1606228822.0689
321,0.686,0.607,0.462,0.271,0.241,0.401,0.555,0.439,0.229,0.165,1606228822.1941
322,0.521,0.425,0.42,0.276,0.217,0.349,0.471,0.424,0.226,0.159,1606228822.3188
323,0.375,0.295,0.401,0.282,0.2,0.31,0.404,0.424,0.226,0.163,1606228822.4441
324,0.277,0.229,0.409,0.29,0.195,0.286,0.37,0.446,0.23,0.178,1606228822.5696
325,0.236,0.219,0.433,0.298,0.205,0.273,0.379,0.48,0.239,0.197,1606228822.6942
326,0.234,0.238,0.454,0.306,0.224,0.265,0.419,0.501,0.251,0.213,1606228822.8194
327,0.254,0.259,0.447,0.308,0.247,0.256,0.47,0.485,0.26,0.219,1606228822.945
328,0.275,0.285,0.404,0.301,0.267,0.234,0.517,0.424,0.261,0.211,1606228823.0701
329,0.297,0.33,0.338,0.284,0.28,0.205,0.55,0.331,0.251,0.195,1606228823.1952
330,0.315,0.408,0.275,0.259,0.286,0.173,0.566,0.235,0.23,0.176,1606228823.3205
331,0.323,0.519,0.232,0.231,0.286,0.148,0.573,0.162,0.2,0.161,1606228823.4454
332,0.318,0.65,0.217,0.207,0.285,0.139,0.581,0.122,0.171,0.154,1606228823.5703
333,0.31,0.784,0.227,0.196,0.28,0.145,0.605,0.118,0.15,0.154,1606228823.6958
334,0.321,0.919,0.248,0.205,0.271,0.16,0.661,0.145,0.145,0.157,1606228823.8207
335,0.366,1.068,0.271,0.235,0.257,0.177,0.753,0.207,0.154,0.159,1606228823.9457
336,0.124,0.336,0.227,0.278,0.311,0.098,0.078,0.178,0.257,0.187,1606228827.3242
337,0.12,0.362,0.203,0.286,0.272,0.117,0.127,0.183,0.279,0.171,1606228827.4493
338,0.117,0.377,0.193,0.299,0.234,0.136,0.198,0.199,0.299,0.154,1606228827.5745
339,0.12,0.37,0.19,0.309,0.208,0.152,0.281,0.221,0.313,0.145,1606228827.6997
340,0.13,0.337,0.189,0.306,0.198,0.161,0.357,0.24,0.318,0.147,1606228827.8242
341,0.145,0.29,0.194,0.291,0.205,0.166,0.405,0.25,0.308,0.158,1606228827.9495
342,0.161,0.24,0.212,0.269,0.225,0.171,0.411,0.251,0.286,0.172,1606228828.0749
343,0.172,0.201,0.246,0.25,0.254,0.182,0.374,0.245,0.26,0.183,1606228828.1996
344,0.176,0.179,0.289,0.24,0.287,0.202,0.306,0.232,0.234,0.188,1606228828.3249
345,0.175,0.173,0.325,0.235,0.321,0.224,0.234,0.216,0.21,0.186,1606228828.4503
346,0.175,0.184,0.342,0.232,0.356,0.238,0.181,0.205,0.188,0.179,1606228828.5754
347,0.182,0.204,0.343,0.226,0.392,0.24,0.159,0.215,0.166,0.172,1606228828.7003
348,0.2,0.236,0.345,0.214,0.428,0.232,0.169,0.255,0.147,0.168,1606228828.8255
349,0.232,0.29,0.365,0.199,0.462,0.224,0.21,0.33,0.135,0.167,1606228828.9504
350,0.278,0.375,0.404,0.187,0.487,0.228,0.281,0.429,0.133,0.169,1606228829.0753
351,0.333,0.484,0.451,0.18,0.501,0.257,0.376,0.527,0.144,0.173,1606228829.2008
352,0.388,0.598,0.483,0.178,0.502,0.315,0.477,0.599,0.162,0.177,1606228829.3257
353,0.432,0.689,0.487,0.184,0.489,0.398,0.56,0.626,0.183,0.181,1606228829.4508
354,0.458,0.732,0.459,0.199,0.469,0.491,0.605,0.605,0.199,0.186,1606228829.5765
355,0.464,0.715,0.41,0.223,0.449,0.572,0.606,0.549,0.209,0.193,1606228829.7016
356,0.448,0.646,0.356,0.253,0.436,0.623,0.572,0.493,0.215,0.199,1606228829.8263
357,0.416,0.549,0.316,0.282,0.428,0.629,0.521,0.468,0.222,0.204,1606228829.9516
358,0.373,0.453,0.298,0.302,0.419,0.585,0.47,0.486,0.23,0.202,1606228830.0769
359,0.323,0.379,0.3,0.308,0.403,0.5,0.424,0.532,0.236,0.192,1606228830.2015
360,0.679,1.581,0.252,0.379,0.341,0.378,0.967,0.161,0.205,0.18,1606228849.2214
361,0.712,1.226,0.291,0.465,0.346,0.335,0.754,0.139,0.228,0.168,1606228849.3463
362,0.705,0.875,0.318,0.547,0.358,0.29,0.537,0.121,0.245,0.161,1606228849.4716
363,0.649,0.613,0.325,0.61,0.385,0.242,0.374,0.108,0.251,0.161,1606228849.5964
364,0.565,0.473,0.313,0.642,0.426,0.198,0.288,0.1,0.243,0.165,1606228849.7214
365,0.482,0.431,0.295,0.641,0.475,0.164,0.267,0.097,0.223,0.173,1606228849.8469
366,0.424,0.425,0.292,0.611,0.518,0.147,0.285,0.102,0.197,0.182,1606228849.9715
367,0.393,0.41,0.309,0.562,0.543,0.143,0.335,0.114,0.174,0.193,1606228850.0968
368,0.383,0.379,0.335,0.504,0.545,0.155,0.432,0.129,0.159,0.202,1606228850.2225
369,0.391,0.354,0.358,0.446,0.529,0.191,0.584,0.145,0.154,0.211,1606228850.3476
370,0.413,0.351,0.368,0.393,0.505,0.256,0.77,0.158,0.158,0.219,1606228850.4725
371,0.442,0.365,0.365,0.349,0.484,0.347,0.946,0.169,0.17,0.227,1606228850.5978
372,0.459,0.381,0.355,0.311,0.476,0.446,1.068,0.187,0.188,0.233,1606228850.7224
373,0.451,0.387,0.351,0.282,0.485,0.526,1.117,0.218,0.21,0.234,1606228850.8473
374,0.406,0.384,0.354,0.263,0.504,0.556,1.106,0.271,0.234,0.227,1606228850.9727
375,0.329,0.385,0.365,0.256,0.52,0.525,1.068,0.346,0.256,0.212,1606228851.0977
376,0.238,0.407,0.378,0.26,0.519,0.445,1.032,0.433,0.276,0.191,1606228851.2227
377,0.161,0.452,0.386,0.274,0.494,0.358,1.005,0.512,0.293,0.165,1606228851.3482
378,0.123,0.504,0.387,0.293,0.445,0.301,0.97,0.56,0.307,0.141,1606228851.4735
379,0.131,0.536,0.382,0.309,0.384,0.304,0.901,0.564,0.314,0.122,1606228851.598
380,0.173,0.531,0.375,0.314,0.326,0.364,0.787,0.522,0.315,0.115,1606228851.7233
381,0.225,0.49,0.367,0.309,0.286,0.453,0.647,0.444,0.313,0.123,1606228851.8485
382,0.262,0.437,0.356,0.304,0.28,0.537,0.521,0.351,0.308,0.146,1606228851.9731
383,0.275,0.406,0.342,0.309,0.309,0.588,0.446,0.269,0.304,0.181,1606228852.0987
384,0.239,0.19,0.431,0.35,0.288,0.223,0.263,0.176,0.21,0.232,1606228861.7339
385,0.261,0.183,0.361,0.39,0.308,0.296,0.275,0.157,0.227,0.229,1606228861.8586
386,0.303,0.178,0.301,0.438,0.319,0.389,0.283,0.156,0.243,0.216,1606228861.9842
387,0.339,0.168,0.275,0.485,0.317,0.484,0.28,0.172,0.259,0.198,1606228862.1095
388,0.351,0.153,0.287,0.517,0.304,0.555,0.268,0.202,0.272,0.179,1606228862.2343
389,0.337,0.145,0.324,0.521,0.288,0.58,0.25,0.237,0.277,0.163,1606228862.3594
390,0.3,0.152,0.367,0.497,0.274,0.552,0.236,0.273,0.269,0.151,1606228862.4846
391,0.255,0.178,0.398,0.455,0.266,0.481,0.231,0.306,0.251,0.14,1606228862.6095
392,0.222,0.218,0.409,0.411,0.259,0.391,0.236,0.333,0.227,0.13,1606228862.7348
393,0.212,0.26,0.395,0.374,0.248,0.302,0.245,0.347,0.203,0.12,1606228862.8603
394,0.224,0.288,0.359,0.344,0.227,0.228,0.246,0.34,0.183,0.109,1606228862.9852
395,0.246,0.291,0.308,0.316,0.197,0.173,0.228,0.305,0.165,0.096,1606228863.1104
396,0.27,0.271,0.25,0.288,0.161,0.134,0.193,0.246,0.147,0.081,1606228863.2361
397,0.29,0.246,0.195,0.26,0.128,0.108,0.15,0.176,0.127,0.064,1606228863.3613
398,0.307,0.236,0.154,0.239,0.104,0.097,0.112,0.111,0.109,0.047,1606228863.4858
399,0.329,0.249,0.133,0.228,0.096,0.1,0.09,0.065,0.095,0.035,1606228863.6114
400,0.36,0.278,0.128,0.232,0.101,0.116,0.087,0.041,0.09,0.03,1606228863.7365
401,0.398,0.311,0.133,0.248,0.116,0.143,0.103,0.035,0.094,0.031,1606228863.8613
402,0.434,0.34,0.142,0.274,0.134,0.176,0.131,0.042,0.108,0.037,1606228863.9865
403,0.453,0.358,0.158,0.308,0.149,0.209,0.165,0.064,0.128,0.047,1606228864.1118
404,0.446,0.36,0.188,0.347,0.158,0.239,0.196,0.108,0.152,0.059,1606228864.2366
405,0.416,0.35,0.239,0.39,0.164,0.262,0.219,0.179,0.177,0.073,1606228864.3619
406,0.376,0.332,0.304,0.439,0.175,0.277,0.232,0.272,0.206,0.089,1606228864.4873
407,0.345,0.317,0.374,0.491,0.205,0.282,0.238,0.368,0.239,0.109,1606228864.6119
408,0.305,0.926,0.297,0.59,0.279,0.241,0.976,0.214,0.285,0.249,1606228871.1187
409,0.32,1.098,0.332,0.53,0.274,0.21,1.104,0.254,0.275,0.221,1606228871.2443
410,0.348,1.216,0.371,0.497,0.278,0.172,1.124,0.292,0.262,0.186,1606228871.3688
411,0.397,1.263,0.402,0.494,0.29,0.146,1.047,0.323,0.251,0.155,1606228871.4942
412,0.47,1.237,0.416,0.513,0.312,0.149,0.916,0.343,0.246,0.138,1606228871.6196
413,0.549,1.154,0.406,0.546,0.346,0.178,0.784,0.352,0.256,0.142,1606228871.7443
414,0.599,1.046,0.38,0.586,0.386,0.214,0.693,0.343,0.285,0.162,1606228871.8696
415,0.601,0.957,0.358,0.63,0.425,0.239,0.657,0.318,0.332,0.19,1606228871.9951
416,0.56,0.927,0.35,0.674,0.451,0.247,0.667,0.279,0.386,0.215,1606228872.1206
417,0.496,0.969,0.362,0.711,0.456,0.244,0.699,0.236,0.435,0.228,1606228872.2459
418,0.436,1.056,0.385,0.726,0.44,0.239,0.722,0.201,0.46,0.224,1606228872.3712
419,0.394,1.139,0.405,0.71,0.408,0.24,0.714,0.183,0.454,0.207,1606228872.4959
420,0.373,1.165,0.412,0.662,0.369,0.245,0.665,0.181,0.417,0.18,1606228872.6207
421,0.366,1.101,0.405,0.595,0.332,0.252,0.573,0.19,0.361,0.152,1606228872.7459
422,0.367,0.957,0.393,0.527,0.301,0.252,0.455,0.199,0.302,0.128,1606228872.8708
423,0.36,0.775,0.385,0.475,0.276,0.24,0.335,0.199,0.249,0.112,1606228872.9955
424,0.343,0.603,0.388,0.448,0.255,0.219,0.237,0.189,0.208,0.104,1606228873.1207
425,0.315,0.478,0.417,0.445,0.238,0.199,0.182,0.183,0.18,0.106,1606228873.2459
426,0.292,0.418,0.479,0.459,0.229,0.201,0.189,0.197,0.163,0.115,1606228873.3708
427,0.291,0.422,0.568,0.486,0.229,0.246,0.267,0.242,0.156,0.13,1606228873.496
428,0.331,0.471,0.66,0.518,0.237,0.338,0.406,0.322,0.157,0.148,1606228873.6211
429,0.428,0.545,0.723,0.547,0.252,0.468,0.578,0.427,0.162,0.164,1606228873.7462
430,0.578,0.625,0.729,0.563,0.272,0.609,0.741,0.543,0.17,0.176,1606228873.8714
431,0.751,0.689,0.667,0.557,0.291,0.719,0.853,0.656,0.176,0.183,1606228873.9969
432,0.294,0.654,0.301,0.226,0.208,0.309,1.058,0.148,0.134,0.123,1606228880.5024
433,0.306,0.65,0.29,0.212,0.228,0.304,1.043,0.153,0.123,0.126,1606228880.628
434,0.305,0.614,0.269,0.205,0.239,0.282,0.968,0.165,0.114,0.122,1606228880.7532
435,0.311,0.578,0.24,0.209,0.241,0.262,0.891,0.188,0.11,0.114,1606228880.8783
436,0.343,0.59,0.21,0.222,0.239,0.259,0.873,0.22,0.115,0.104,1606228881.0038
437,0.407,0.69,0.191,0.239,0.239,0.274,0.935,0.255,0.129,0.095,1606228881.129
438,0.491,0.882,0.188,0.255,0.243,0.299,1.051,0.284,0.151,0.09,1606228881.2536
439,0.567,1.123,0.198,0.268,0.252,0.318,1.156,0.292,0.176,0.087,1606228881.3789
440,0.601,1.338,0.213,0.277,0.262,0.32,1.195,0.278,0.2,0.087,1606228881.5043
441,0.576,1.459,0.225,0.28,0.272,0.308,1.155,0.251,0.219,0.092,1606228881.6292
442,0.491,1.446,0.237,0.276,0.28,0.29,1.06,0.227,0.228,0.102,1606228881.7543
443,0.371,1.307,0.255,0.27,0.288,0.271,0.941,0.223,0.23,0.115,1606228881.8798
444,0.258,1.1,0.293,0.273,0.295,0.247,0.825,0.25,0.234,0.128,1606228882.0043
445,0.194,0.906,0.362,0.295,0.297,0.222,0.726,0.307,0.248,0.137,1606228882.1294
446,0.198,0.783,0.463,0.337,0.294,0.198,0.646,0.387,0.273,0.138,1606228882.2548
447,0.265,0.754,0.576,0.387,0.281,0.183,0.583,0.469,0.301,0.131,1606228882.3794
448,0.366,0.796,0.671,0.429,0.262,0.181,0.533,0.528,0.319,0.12,1606228882.5045
449,0.46,0.869,0.718,0.445,0.24,0.188,0.494,0.545,0.314,0.109,1606228882.6299
450,0.515,0.947,0.7,0.43,0.222,0.196,0.474,0.51,0.286,0.099,1606228882.755
451,0.529,1.027,0.625,0.393,0.211,0.201,0.48,0.429,0.242,0.094,1606228882.8799
452,0.526,1.121,0.525,0.349,0.207,0.2,0.515,0.322,0.197,0.093,1606228883.0054
453,0.538,1.22,0.437,0.316,0.21,0.203,0.565,0.221,0.165,0.094,1606228883.1301
454,0.578,1.299,0.378,0.301,0.217,0.218,0.611,0.15,0.153,0.098,1606228883.2552
455,0.641,1.32,0.352,0.299,0.225,0.25,0.638,0.122,0.157,0.103,1606228883.3805
456,0.492,0.282,0.29,0.247,0.255,0.698,0.666,0.77,0.234,0.142,1606228893.0151
457,0.595,0.311,0.382,0.29,0.252,0.731,0.763,0.87,0.293,0.158,1606228893.1402
458,0.683,0.321,0.479,0.316,0.253,0.708,0.812,0.885,0.34,0.171,1606228893.2656
459,0.742,0.316,0.558,0.314,0.253,0.638,0.816,0.819,0.36,0.178,1606228893.3905
460,0.764,0.304,0.602,0.284,0.247,0.549,0.789,0.7,0.35,0.18,1606228893.5154
461,0.75,0.297,0.605,0.238,0.232,0.466,0.747,0.573,0.313,0.178,1606228893.6408
462,0.704,0.299,0.574,0.196,0.211,0.411,0.693,0.481,0.261,0.178,1606228893.7659
463,0.637,0.311,0.523,0.176,0.192,0.387,0.626,0.444,0.21,0.181,1606228893.8909
464,0.565,0.33,0.465,0.184,0.181,0.382,0.543,0.453,0.168,0.186,1606228894.0161
465,0.491,0.352,0.409,0.215,0.179,0.372,0.45,0.479,0.14,0.189,1606228894.1412
466,0.421,0.375,0.359,0.254,0.184,0.341,0.361,0.494,0.124,0.187,1606228894.2662
467,0.355,0.391,0.32,0.283,0.192,0.289,0.291,0.488,0.116,0.178,1606228894.3916
468,0.297,0.393,0.302,0.294,0.2,0.23,0.254,0.474,0.113,0.164,1606228894.5169
469,0.257,0.376,0.313,0.286,0.206,0.177,0.255,0.464,0.116,0.15,1606228894.6417
470,0.232,0.338,0.351,0.263,0.208,0.142,0.29,0.468,0.125,0.14,1606228894.7668
471,0.219,0.284,0.398,0.237,0.205,0.125,0.345,0.486,0.14,0.134,1606228894.8923
472,0.216,0.234,0.43,0.223,0.197,0.121,0.405,0.506,0.159,0.131,1606228895.0172
473,0.226,0.216,0.428,0.229,0.186,0.124,0.465,0.508,0.18,0.128,1606228895.1421
474,0.254,0.258,0.389,0.251,0.173,0.135,0.534,0.482,0.2,0.123,1606228895.2677
475,0.297,0.366,0.327,0.279,0.161,0.154,0.614,0.428,0.215,0.116,1606228895.3927
476,0.345,0.516,0.261,0.296,0.15,0.178,0.698,0.359,0.222,0.107,1606228895.5179
477,0.371,0.661,0.21,0.293,0.143,0.196,0.772,0.291,0.221,0.099,1606228895.6433
478,0.355,0.77,0.183,0.27,0.14,0.197,0.83,0.234,0.214,0.096,1606228895.7681
479,0.308,0.842,0.183,0.236,0.142,0.184,0.878,0.19,0.202,0.1,1606228895.8928
480,0.443,0.637,0.281,0.48,0.631,0.418,0.568,0.325,0.356,0.319,1606228908.6569
481,0.464,0.547,0.233,0.525,0.595,0.462,0.519,0.301,0.366,0.318,1606228908.7822
482,0.518,0.454,0.197,0.552,0.553,0.504,0.456,0.275,0.365,0.309,1606228908.907
483,0.602,0.394,0.179,0.545,0.513,0.54,0.407,0.252,0.349,0.293,1606228909.0319
484,0.689,0.381,0.179,0.507,0.477,0.559,0.389,0.238,0.325,0.27,1606228909.1576
485,0.747,0.403,0.193,0.453,0.44,0.546,0.399,0.237,0.308,0.243,1606228909.2824
486,0.756,0.431,0.22,0.399,0.398,0.498,0.423,0.251,0.304,0.213,1606228909.4073
487,0.715,0.438,0.262,0.36,0.353,0.427,0.446,0.279,0.317,0.184,1606228909.5326
488,0.645,0.416,0.329,0.345,0.322,0.353,0.466,0.315,0.339,0.159,1606228909.6576
489,0.569,0.374,0.431,0.359,0.33,0.294,0.495,0.347,0.358,0.142,1606228909.7826
490,0.504,0.331,0.572,0.395,0.394,0.264,0.539,0.374,0.363,0.133,1606228909.9081
491,0.457,0.298,0.727,0.437,0.507,0.261,0.592,0.395,0.351,0.131,1606228910.0329
492,0.431,0.284,0.856,0.467,0.636,0.273,0.637,0.418,0.322,0.133,1606228910.1576
493,0.421,0.286,0.919,0.47,0.734,0.283,0.657,0.443,0.282,0.134,1606228910.2832
494,0.418,0.293,0.89,0.439,0.764,0.279,0.642,0.469,0.238,0.133,1606228910.4082
495,0.415,0.296,0.78,0.378,0.714,0.262,0.591,0.488,0.194,0.128,1606228910.5331
496,0.404,0.291,0.622,0.3,0.602,0.234,0.517,0.491,0.154,0.118,1606228910.6586
497,0.381,0.276,0.466,0.229,0.467,0.2,0.444,0.473,0.123,0.107,1606228910.7836
498,0.339,0.251,0.352,0.184,0.353,0.162,0.391,0.44,0.108,0.097,1606228910.9082
499,0.287,0.221,0.296,0.178,0.287,0.131,0.371,0.402,0.113,0.092,1606228911.0337
500,0.229,0.191,0.283,0.212,0.27,0.111,0.379,0.374,0.139,0.094,1606228911.1591
501,0.18,0.168,0.281,0.269,0.284,0.107,0.405,0.359,0.176,0.1,1606228911.2838
502,0.151,0.154,0.265,0.327,0.301,0.121,0.43,0.35,0.209,0.11,1606228911.4091
503,0.154,0.147,0.227,0.364,0.308,0.155,0.438,0.34,0.227,0.12,1606228911.5346
504,0.357,0.392,0.468,0.16,0.221,0.131,0.287,0.291,0.124,0.132,1606228924.2984
505,0.369,0.339,0.437,0.169,0.239,0.14,0.307,0.252,0.119,0.128,1606228924.4236
506,0.367,0.281,0.375,0.194,0.255,0.138,0.303,0.195,0.12,0.123,1606228924.549
507,0.364,0.238,0.314,0.233,0.262,0.126,0.279,0.138,0.122,0.117,1606228924.6744
508,0.37,0.228,0.285,0.285,0.255,0.105,0.245,0.1,0.126,0.113,1606228924.7991
509,0.391,0.259,0.302,0.347,0.235,0.084,0.218,0.086,0.134,0.113,1606228924.9242
510,0.417,0.331,0.359,0.408,0.208,0.073,0.21,0.092,0.147,0.117,1606228925.0497
511,0.428,0.44,0.427,0.459,0.179,0.077,0.227,0.103,0.165,0.123,1606228925.1742
512,0.405,0.571,0.475,0.487,0.155,0.094,0.267,0.108,0.188,0.127,1606228925.2995
513,0.35,0.698,0.488,0.487,0.138,0.116,0.317,0.107,0.216,0.128,1606228925.4247
514,0.274,0.794,0.463,0.462,0.128,0.134,0.362,0.105,0.247,0.126,1606228925.5494
515,0.199,0.845,0.41,0.417,0.121,0.144,0.39,0.112,0.281,0.124,1606228925.6746
516,0.151,0.85,0.342,0.362,0.118,0.151,0.406,0.128,0.314,0.124,1606228925.8
517,0.143,0.812,0.272,0.307,0.116,0.166,0.418,0.151,0.341,0.128,1606228925.9247
518,0.17,0.737,0.209,0.263,0.118,0.19,0.435,0.17,0.356,0.134,1606228926.0497
519,0.216,0.635,0.161,0.237,0.124,0.222,0.455,0.18,0.355,0.138,1606228926.1752
520,0.268,0.524,0.131,0.23,0.134,0.256,0.471,0.184,0.342,0.139,1606228926.2999
521,0.323,0.431,0.125,0.241,0.149,0.285,0.472,0.195,0.32,0.136,1606228926.4248
522,0.383,0.38,0.149,0.263,0.166,0.309,0.454,0.225,0.295,0.136,1606228926.5503
523,0.452,0.375,0.197,0.287,0.186,0.343,0.416,0.274,0.272,0.141,1606228926.6754
524,0.536,0.401,0.258,0.3,0.203,0.411,0.371,0.329,0.25,0.155,1606228926.8004
525,0.621,0.435,0.312,0.295,0.214,0.518,0.338,0.37,0.229,0.174,1606228926.9258
526,0.692,0.451,0.341,0.269,0.217,0.653,0.327,0.379,0.206,0.193,1606228927.0507
527,0.721,0.434,0.337,0.229,0.214,0.774,0.338,0.351,0.182,0.204,1606228927.1754
528,0.606,0.306,0.272,0.16,0.2,0.83,0.377,0.257,0.151,0.195,1606228927.426
529,0.482,0.232,0.246,0.154,0.195,0.74,0.392,0.246,0.153,0.181,1606228927.551
530,0.354,0.189,0.246,0.167,0.189,0.605,0.416,0.273,0.164,0.17,1606228927.6763
531,0.25,0.204,0.28,0.188,0.181,0.465,0.467,0.324,0.175,0.165,1606228927.8016
532,0.191,0.29,0.345,0.209,0.171,0.367,0.543,0.369,0.18,0.166,1606228927.9265
533,0.167,0.444,0.423,0.225,0.163,0.318,0.632,0.386,0.175,0.169,1606228928.0516
534,0.158,0.637,0.499,0.236,0.16,0.305,0.719,0.368,0.163,0.172,1606228928.1769
535,0.152,0.819,0.563,0.247,0.163,0.309,0.801,0.336,0.151,0.171,1606228928.3017
536,0.147,0.945,0.604,0.258,0.171,0.31,0.899,0.325,0.145,0.166,1606228928.4268
537,0.15,0.985,0.622,0.268,0.175,0.296,1.044,0.369,0.149,0.157,1606228928.5524
538,0.175,0.94,0.618,0.275,0.173,0.272,1.246,0.479,0.161,0.148,1606228928.6774
539,0.223,0.836,0.596,0.277,0.162,0.233,1.478,0.632,0.176,0.138,1606228928.8027
540,0.295,0.706,0.56,0.276,0.148,0.198,1.671,0.781,0.185,0.127,1606228928.9281
541,0.371,0.581,0.513,0.273,0.141,0.165,1.74,0.875,0.185,0.114,1606228929.053
542,0.431,0.479,0.461,0.271,0.148,0.147,1.635,0.884,0.176,0.102,1606228929.1777
543,0.461,0.4,0.414,0.274,0.17,0.147,1.367,0.805,0.164,0.095,1606228929.3032
544,0.464,0.343,0.384,0.283,0.205,0.17,1.009,0.663,0.154,0.099,1606228929.4284
545,0.454,0.31,0.387,0.297,0.251,0.208,0.668,0.502,0.149,0.119,1606228929.5532
546,0.448,0.307,0.426,0.311,0.304,0.252,0.437,0.372,0.15,0.154,1606228929.6786
547,0.461,0.326,0.485,0.32,0.363,0.292,0.346,0.301,0.155,0.2,1606228929.8042
548,0.496,0.355,0.54,0.324,0.421,0.32,0.365,0.286,0.159,0.246,1606228929.929
549,0.543,0.378,0.567,0.32,0.467,0.333,0.421,0.297,0.159,0.277,1606228930.0542
550,0.589,0.388,0.552,0.31,0.488,0.337,0.456,0.303,0.154,0.285,1606228930.1795
551,0.616,0.38,0.498,0.299,0.476,0.327,0.442,0.286,0.144,0.266,1606228930.3038
552,0.355,0.97,0.312,0.176,0.181,0.235,0.441,0.237,0.098,0.159,1606228939.9391
553,0.309,0.985,0.313,0.192,0.195,0.204,0.414,0.247,0.115,0.157,1606228940.0647
554,0.274,0.923,0.309,0.204,0.212,0.179,0.374,0.263,0.131,0.157,1606228940.1894
