,P7,O1,O2,P8,TIME
82,4570.256,3938.462,3865.128,4309.231,1606508898.8636
83,4564.103,3934.872,3863.59,4305.641,1606508898.8714
84,4600.0,3958.974,3867.692,4318.974,1606508898.8792
85,4606.667,3953.846,3870.769,4326.667,1606508898.8871
86,4582.564,3930.256,3871.282,4316.923,1606508898.8949
87,4588.205,3949.231,3872.308,4316.41,1606508898.9028
88,4618.462,3983.077,3885.641,4342.051,1606508898.9106
89,4617.949,3974.872,3895.385,4356.41,1606508898.9186
90,4597.436,3955.385,3887.692,4344.615,1606508898.9264
91,4588.718,3950.256,3880.513,4334.872,1606508898.9343
92,4583.077,3944.103,3877.436,4331.795,1606508898.9421
93,4574.359,3942.564,3878.462,4323.59,1606508898.95
94,4583.077,3954.359,3889.744,4323.077,1606508898.9579
95,4600.513,3960.513,3882.051,4328.205,1606508898.9658
96,4597.436,3948.718,3850.256,4327.692,1606508898.9736
97,4588.718,3940.0,3842.051,4332.308,1606508898.9813
98,4600.0,3955.385,3861.026,4335.897,1606508898.9891
99,4617.436,3971.282,3874.872,4323.077,1606508898.9969
100,4617.436,3975.385,3884.103,4321.538,1606508899.0047
101,4614.359,3980.0,3893.333,4338.462,1606508899.0124
102,4613.333,3976.923,3888.205,4342.564,1606508899.0202
103,4600.513,3961.026,3879.487,4337.436,1606508899.0279
104,4585.641,3952.821,3876.41,4328.718,1606508899.0358
105,4598.462,3966.154,3881.538,4328.205,1606508899.0435
106,4612.308,3978.462,3889.231,4338.462,1606508899.0513
107,4600.513,3968.718,3891.282,4336.923,1606508899.059
108,4584.615,3946.154,3878.974,4317.436,1606508899.0669
109,4592.821,3949.231,3867.179,4313.333,1606508899.0748
110,4615.897,3971.282,3871.282,4328.205,1606508899.0827
111,4623.077,3973.846,3880.0,4335.385,1606508899.0905
112,4602.564,3958.462,3873.333,4327.179,1606508899.0984
113,4582.564,3947.179,3865.641,4318.462,1606508899.1062
114,4583.077,3950.256,3876.41,4328.718,1606508899.1142
115,4608.205,3970.256,3892.308,4344.615,1606508899.122
116,4631.795,3975.897,3894.872,4345.128,1606508899.1299
117,4609.744,3947.179,3887.179,4331.795,1606508899.1377
118,4581.538,3936.41,3884.103,4324.615,1606508899.1456
119,4596.923,3958.974,3882.564,4323.077,1606508899.1535
120,4620.0,3971.795,3879.487,4322.564,1606508899.1612
121,4606.667,3951.795,3868.718,4305.641,1606508899.169
122,4589.744,3941.538,3863.077,4294.872,1606508899.1767
123,4595.385,3957.436,3873.846,4310.769,1606508899.1845
124,4605.641,3965.641,3881.026,4320.0,1606508899.1923
125,4600.513,3954.359,3875.897,4313.333,1606508899.2001
126,4600.0,3958.462,3882.564,4326.667,1606508899.2078
127,4612.308,3974.359,3897.949,4342.564,1606508899.2156
128,4607.179,3968.205,3890.769,4325.641,1606508899.2233
129,4591.282,3956.923,3877.436,4307.692,1606508899.2312
130,4600.513,3966.667,3882.564,4316.923,1606508899.2389
131,4615.385,3973.846,3886.154,4328.718,1606508899.2468
132,4598.974,3960.513,3878.462,4320.513,1606508899.2546
133,4588.205,3951.282,3874.872,4308.718,1606508899.2625
134,4609.744,3960.0,3870.769,4308.205,1606508899.2704
135,4616.41,3968.718,3882.564,4315.897,1606508899.2783
136,4586.154,3960.0,3900.0,4314.359,1606508899.2861
137,4582.051,3953.846,3893.846,4310.769,1606508899.294
138,4610.256,3960.0,3873.846,4315.897,1606508899.3018
139,4608.205,3963.59,3862.564,4317.436,1606508899.3098
140,4585.641,3954.872,3855.897,4311.795,1606508899.3176
141,4596.923,3945.128,3864.103,4319.487,1606508899.3255
142,4605.641,3949.231,3882.051,4322.051,1606508899.3333
