color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",5,0,5,0,0,1,1,3,,,,,,,,,120.26944020000519,None,120.26944020000519,None,120.26944020000519,None,120.26944020000519,None,120.26944020000519,None,121.27191250002943,None,121.27191250002943,None,121.27191250002943,None,121.27191250002943,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",5,0,5,0,0,2,2,2,,,,,,,,,124.27247140003601,None,124.27247140003601,None,124.27247140003601,None,124.27247140003601,None,124.27247140003601,None,125.26702329999534,None,125.26702329999534,None,125.26702329999534,None,125.26702329999534,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",5,0,5,0,0,3,3,1,,,,,,,,,128.26931820000755,None,128.26931820000755,None,128.26931820000755,None,128.26931820000755,None,128.26931820000755,None,129.27117850002833,None,129.27117850002833,None,129.27117850002833,None,129.27117850002833,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,5,0,5,0,,,,,,,,,,,132.27301639999496,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",6,0,6,0,0,0,0,2,,,,,,,133.26943000004394,None,134.27402860001894,None,134.27402860001894,None,134.27402860001894,None,134.27402860001894,None,134.27402860001894,None,135.2718171000015,None,135.2718171000015,None,135.2718171000015,None,135.2718171000015,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",6,0,6,0,0,1,1,3,,,,,,,,,138.27265420003096,None,138.27265420003096,None,138.27265420003096,None,138.27265420003096,None,138.27265420003096,None,139.26856110000517,None,139.26856110000517,None,139.26856110000517,None,139.26856110000517,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",6,0,6,0,0,2,2,0,,,,,,,,,142.26968120003585,None,142.26968120003585,None,142.26968120003585,None,142.26968120003585,None,142.26968120003585,None,143.27086920000147,None,143.27086920000147,None,143.27086920000147,None,143.27086920000147,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",6,0,6,0,0,3,3,1,,,,,,,,,146.27405910001835,None,146.27405910001835,None,146.27405910001835,None,146.27405910001835,None,146.27405910001835,None,147.26892850000877,None,147.26892850000877,None,147.26892850000877,None,147.26892850000877,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,6,0,6,0,,,,,,,,,,,150.26977050001733,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",7,0,7,0,0,0,0,3,,,,,,,151.27241950004827,None,152.27012380002998,None,152.27012380002998,None,152.27012380002998,None,152.27012380002998,None,152.27012380002998,None,153.26889770000707,None,153.26889770000707,None,153.26889770000707,None,153.26889770000707,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
